"question_id","document_name","question","answer","expected_answer_keywords","retrieved_sources","top_1_relevant","top_3_relevant_count","top_5_relevant_count","precision_at_1","precision_at_3","precision_at_5","reciprocal_rank","grounding_score","functional_pass","response_time_seconds","error","manual_review_note"
"PASSLESS-01","Passwordless.pdf","What is the title of the passwordless authentication report and who are the listed members?","The title of the passwordless authentication report is not explicitly stated in the provided context.

As for the listed members, there is no mention of specific individuals or teams involved in the report. However, it does cite Oduguwa and Arabo as authors who predicted the demise of passwords in 2004.","Passwordless Authentication Using Cryptographic Techniques;Pham Phuong Thao;Tran Thanh Phat;Hoang Quoc Bao;Nguyen Cong Anh;Bui Khuong Duy","[{""rank"": 1, ""document_name"": ""Passwordless.pdf"", ""page"": 3, ""chunk_index"": 2, ""score"": 0.60506123, ""excerpt"": ""Abstract Passwordless authentication replaces traditional password-based logins with more secure and user-friendly methods. As noted by Oduguwa and Arabo, the “demise of the password was predicted in 2004” and many alternatives have been proposed to balance security and user experience. According to""}, {""rank"": 2, ""document_name"": ""Passwordless.pdf"", ""page"": 13, ""chunk_index"": 23, ""score"": 0.5988371, ""excerpt"": ""Not truly passwordless, centralized risk Medium Table 1: Comparison of Passwordless Authentication Methods 13""}, {""rank"": 3, ""document_name"": ""Passwordless.pdf"", ""page"": 2, ""chunk_index"": 1, ""score"": 0.5445063, ""excerpt"": ""Contents Abstract 3 1. Introduction 4 Problems with Password Authentication . . . . . . . . . . . . . . . . . . . . . 4 What is Passwordless Authentication? . . . . . . . . . . . . . . . . . . . . . . 4 2. Common Passwordless Methods 5 2.1 One-Time Passcodes (HOTP/TOTP) . . . . . . . . . . . . . . .""}, {""rank"": 4, ""document_name"": ""Passwordless.pdf"", ""page"": 4, ""chunk_index"": 3, ""score"": 0.5253647, ""excerpt"": ""1. Introduction Problems with Password Authentication Traditional password systems rely on a shared secret known to user and server. In contrast, passwordless schemes use alternative factors (possession or inherence) and cryptography. NIST defines authentication as proving possession of an authentic""}, {""rank"": 5, ""document_name"": ""Passwordless.pdf"", ""page"": 4, ""chunk_index"": 4, ""score"": 0.50880826, ""excerpt"": ""As Oduguwa and Arabo explain, passwordless authentication grants access “without the use of shared secrets like passwords”. In other words, no long-term secret known by the user is sent or stored. Instead, authentication may rely on one-time codes, cryptographic keys, biometric gestures, or other fa""}]","False","0","0","0.0","0.0","0.0","0.0","0.0","False","20.6121","","No expected keywords or relevant retrieved chunks detected; manual review recommended."
"PASSLESS-02","Passwordless.pdf","How does the report define passwordless authentication?","According to the report, passwordless authentication is defined as a method that grants access ""without the use of shared secrets like passwords"" [3]. This means that no long-term secret known by the user is sent or stored, and instead, authentication may rely on one-time codes, cryptographic keys, biometric gestures, or other factors. True passwordless methods, such as FIDO2, do not even send a password or biometric data to the server - only a signed challenge [3].","without the use of shared secrets;passwords;one-time codes;cryptographic keys","[{""rank"": 1, ""document_name"": ""Passwordless.pdf"", ""page"": 4, ""chunk_index"": 3, ""score"": 0.6248524, ""excerpt"": ""1. Introduction Problems with Password Authentication Traditional password systems rely on a shared secret known to user and server. In contrast, passwordless schemes use alternative factors (possession or inherence) and cryptography. NIST defines authentication as proving possession of an authentic""}, {""rank"": 2, ""document_name"": ""Passwordless.pdf"", ""page"": 3, ""chunk_index"": 2, ""score"": 0.61747205, ""excerpt"": ""Abstract Passwordless authentication replaces traditional password-based logins with more secure and user-friendly methods. As noted by Oduguwa and Arabo, the “demise of the password was predicted in 2004” and many alternatives have been proposed to balance security and user experience. According to""}, {""rank"": 3, ""document_name"": ""Passwordless.pdf"", ""page"": 4, ""chunk_index"": 4, ""score"": 0.60930145, ""excerpt"": ""As Oduguwa and Arabo explain, passwordless authentication grants access “without the use of shared secrets like passwords”. In other words, no long-term secret known by the user is sent or stored. Instead, authentication may rely on one-time codes, cryptographic keys, biometric gestures, or other fa""}, {""rank"": 4, ""document_name"": ""Passwordless.pdf"", ""page"": 13, ""chunk_index"": 23, ""score"": 0.57951736, ""excerpt"": ""Not truly passwordless, centralized risk Medium Table 1: Comparison of Passwordless Authentication Methods 13""}, {""rank"": 5, ""document_name"": ""Passwordless.pdf"", ""page"": 14, ""chunk_index"": 24, ""score"": 0.57455206, ""excerpt"": ""3. Passwordless Workflow Illustration Figure 2: Anatomy of a passwordless flow A typical FIDO/WebAuthn registration and authentication sequence. Registration: The user approves a device registration request (e.g. via fingerprint); the device generates a private key; it sends the corresponding public""}]","True","3","3","1.0","1.0","0.6","1.0","1.0","True","60.1026","",""
"PASSLESS-03","Passwordless.pdf","How are HOTP and TOTP codes generated according to the report?","According to the report, HOTP (HMAC-based OTP) codes are generated using a secret key K and a counter C. The server and client share K and keep a synchronized counter. Each login advances the counter, ensuring a fresh code. The HOTP value is computed as: HOTP value = HOTP(K, C) mod 10d [1]. TOTP (Time-based OTP) codes are generated by deriving the counter from the current time: TOTP(K) = HOTP(K, CT) with CT = T - T0 * Tx [2].

In other words, both HOTP and TOTP codes use a shared secret key K and a counter or timestamp to generate unique one-time passwords.","HOTP;HMAC;counter;TOTP;current time;30 seconds","[{""rank"": 1, ""document_name"": ""Passwordless.pdf"", ""page"": 6, ""chunk_index"": 6, ""score"": 0.50915086, ""excerpt"": ""2.1 One-Time Passcodes (HOTP/TOTP) One-time passwords (OTPs) generate short numerical codes for each login. The HOTP (HMAC-based OTP) algorithm uses a secret key K and a counter C. The server and client share K and keep a synchronized counter. Each login advances the counter, ensuring a fresh code. ""}, {""rank"": 2, ""document_name"": ""Passwordless.pdf"", ""page"": 6, ""chunk_index"": 7, ""score"": 0.47726083, ""excerpt"": ""where T is the current time (e.g. seconds since epoch), T0 is a start time, and Tx is the time-step (commonly 30 seconds). Thus every time window yields a new code. Both client and server compute TOTP(K) and check if they match. In practice, small clock skews are allowed by checking neighboring wind""}, {""rank"": 3, ""document_name"": ""Passwordless.pdf"", ""page"": 7, ""chunk_index"": 9, ""score"": 0.40675172, ""excerpt"": ""Security OTPs eliminate static passwords, but are still vulnerable to certain attacks. Because both client and server know K, if the secret is compromised (e.g. from phishing during the initial setup or malware on the client), an attacker can generate valid codes. Moreover, TOTP codes must be entere""}, {""rank"": 4, ""document_name"": ""Passwordless.pdf"", ""page"": 6, ""chunk_index"": 8, ""score"": 0.4015845, ""excerpt"": ""pyotp.TOTP(secret).now() to verify the user’s entry. 6""}, {""rank"": 5, ""document_name"": ""Passwordless.pdf"", ""page"": 13, ""chunk_index"": 22, ""score"": 0.34259087, ""excerpt"": ""Comparison of Passwordless Authentication Methods Method Authentication Factor How It Works Advantages Limitations Security Level One-Time Passcodes (HOTP/TOTP) Possession Generates time- or counter-based one-time codes from a shared secret Easy to deploy, widely used Vulnerable to phishing, shared ""}]","True","3","5","1.0","1.0","1.0","1.0","1.0","True","48.8427","",""
"PASSLESS-04","Passwordless.pdf","What security weaknesses remain for OTP-based authentication?","Based on the provided context, security weaknesses that remain for OTP-based authentication include:

* Vulnerability to phishing attacks: Since both client and server know the shared secret, if it is compromised, an attacker can generate valid codes [1].
* Risk of shared secret exposure: If the initial setup or malware on the client compromises the secret, an attacker can use it to generate valid codes.
* Limited protection against real-time phishing: Although TOTP codes have a short validity window, an attacker operating a fake website can still prompt the user for their OTP in real time and immediately reuse it [1].

These weaknesses highlight the importance of secure initial distribution of the shared secret and proper clock synchronization between client and server.","phishing;shared secret;malware;clock synchronization;initial distribution","[{""rank"": 1, ""document_name"": ""Passwordless.pdf"", ""page"": 7, ""chunk_index"": 9, ""score"": 0.71516454, ""excerpt"": ""Security OTPs eliminate static passwords, but are still vulnerable to certain attacks. Because both client and server know K, if the secret is compromised (e.g. from phishing during the initial setup or malware on the client), an attacker can generate valid codes. Moreover, TOTP codes must be entere""}, {""rank"": 2, ""document_name"": ""Passwordless.pdf"", ""page"": 16, ""chunk_index"": 27, ""score"": 0.6241074, ""excerpt"": ""• Biometric Safety: Biometric methods raise privacy concerns, but standards ensure biometric data stays on-device. • Dependency on Other Factors: OTPs and magic links depend on a password- protected email or phone account. If an attacker compromises the email, they can use any magic link. Transmit S""}, {""rank"": 3, ""document_name"": ""Passwordless.pdf"", ""page"": 13, ""chunk_index"": 22, ""score"": 0.4835658, ""excerpt"": ""Comparison of Passwordless Authentication Methods Method Authentication Factor How It Works Advantages Limitations Security Level One-Time Passcodes (HOTP/TOTP) Possession Generates time- or counter-based one-time codes from a shared secret Easy to deploy, widely used Vulnerable to phishing, shared ""}, {""rank"": 4, ""document_name"": ""Passwordless.pdf"", ""page"": 6, ""chunk_index"": 6, ""score"": 0.46768254, ""excerpt"": ""2.1 One-Time Passcodes (HOTP/TOTP) One-time passwords (OTPs) generate short numerical codes for each login. The HOTP (HMAC-based OTP) algorithm uses a secret key K and a counter C. The server and client share K and keep a synchronized counter. Each login advances the counter, ensuring a fresh code. ""}, {""rank"": 5, ""document_name"": ""Passwordless.pdf"", ""page"": 4, ""chunk_index"": 4, ""score"": 0.46277922, ""excerpt"": ""As Oduguwa and Arabo explain, passwordless authentication grants access “without the use of shared secrets like passwords”. In other words, no long-term secret known by the user is sent or stored. Instead, authentication may rely on one-time codes, cryptographic keys, biometric gestures, or other fa""}]","True","2","3","1.0","0.6667","0.6","1.0","1.0","True","54.8251","",""
"PASSLESS-05","Passwordless.pdf","How does a magic link login flow work?","Here's how a magic link login flow works:

The user requests login with their email, and the server generates a secure random token (or JWT) tied to the user and sends it via email [1]. The user clicks the link containing the token, which is validated by the server to ensure it matches the user. If valid, the server logs the user in.

Key steps:

* User requests login with their email
* Server generates a secure random token (or JWT) tied to the user and sends it via email
* User clicks the link containing the token
* Server validates the token and logs the user in if valid","email;secure random token;short expiry;validates the token;logs them in","[{""rank"": 1, ""document_name"": ""Passwordless.pdf"", ""page"": 8, ""chunk_index"": 10, ""score"": 0.7675538, ""excerpt"": ""2.2 Magic Links (Email/SMS One-Time URLs) Magic links send a one-time login URL or token to the user’s email or phone. The flow is: the user enters their identifier (email) on the site, the server sends a special link (or code) to that email, and clicking the link logs them in without a password. In""}, {""rank"": 2, ""document_name"": ""Passwordless.pdf"", ""page"": 8, ""chunk_index"": 11, ""score"": 0.6570002, ""excerpt"": ""Magic links are very user-friendly (no codes to type). However, they rely on the security of the email account (or phone for SMS). If an attacker has access to the user’s email, they can use the magic link to log in. Sending codes via SMS is similarly convenient but vulnerable to SIM-swapping attack""}, {""rank"": 3, ""document_name"": ""Passwordless.pdf"", ""page"": 14, ""chunk_index"": 24, ""score"": 0.5462841, ""excerpt"": ""3. Passwordless Workflow Illustration Figure 2: Anatomy of a passwordless flow A typical FIDO/WebAuthn registration and authentication sequence. Registration: The user approves a device registration request (e.g. via fingerprint); the device generates a private key; it sends the corresponding public""}, {""rank"": 4, ""document_name"": ""Passwordless.pdf"", ""page"": 5, ""chunk_index"": 5, ""score"": 0.50931245, ""excerpt"": ""2. Common Passwordless Methods Passwordless schemes can be broadly categorized by the factors they use. Each method has its own flow, formulas, and security properties. Key approaches include: • One-Time Passcodes (HOTP/TOTP) – Time- or event-based codes generated by a shared secret. • Magic Links (""}, {""rank"": 5, ""document_name"": ""Passwordless.pdf"", ""page"": 2, ""chunk_index"": 1, ""score"": 0.49340212, ""excerpt"": ""Contents Abstract 3 1. Introduction 4 Problems with Password Authentication . . . . . . . . . . . . . . . . . . . . . 4 What is Passwordless Authentication? . . . . . . . . . . . . . . . . . . . . . . 4 2. Common Passwordless Methods 5 2.1 One-Time Passcodes (HOTP/TOTP) . . . . . . . . . . . . . . .""}]","True","2","4","1.0","0.6667","0.8","1.0","1.0","True","62.6029","",""
"PASSLESS-06","Passwordless.pdf","Why are biometrics not sent to the server in WebAuthn-style authentication?","Biometrics are not sent to the server in WebAuthn-style authentication because the biometric check happens on the client platform, and the server only sees a signature, not the raw biometric data [1]. This is achieved through the use of public-key cryptography, where the device uses its stored private key to sign the challenge, which is then verified by the server using the user's previously registered public key [4].

In the WebAuthn flow, the user's device receives a challenge from the server and prompts the user to approve it (e.g., via fingerprint or PIN). Upon approval, the device uses its stored private key to sign the challenge cryptographically. The signed challenge is then sent back to the server, which verifies the signature using the user's previously registered public key [4]. This ensures that only the rightful user who holds the private key can approve the login.

As a result, biometric data never leaves the device and remains private, enhancing security and privacy [2]. The server only sees a signed challenge, making it difficult for attackers to intercept or spoof the authentication process.","client platform;server only sees a signature;raw biometric data;private key","[{""rank"": 1, ""document_name"": ""Passwordless.pdf"", ""page"": 9, ""chunk_index"": 13, ""score"": 0.6733722, ""excerpt"": ""Modern devices incorporate biometric sensors (fingerprint readers, facial recognition, etc.) as an authentication factor. In passwordless schemes, biometrics typically unlock a device or key, rather than being sent over the network. For example, Apple’s Touch ID / Face ID or Android’s biometrics sto""}, {""rank"": 2, ""document_name"": ""Passwordless.pdf"", ""page"": 11, ""chunk_index"": 19, ""score"": 0.5413669, ""excerpt"": ""print(\""Signature invalid: authentication failed\"") Because the private key never leaves the device and the signature can only be produced by that key, this flow is phishing-resistant. An attacker who tricks a user into approving a login at a fraudulent site would have a challenge from the wrong domai""}, {""rank"": 3, ""document_name"": ""Passwordless.pdf"", ""page"": 9, ""chunk_index"": 12, ""score"": 0.53026885, ""excerpt"": ""2.3 Biometric and Device Authentication""}, {""rank"": 4, ""document_name"": ""Passwordless.pdf"", ""page"": 15, ""chunk_index"": 25, ""score"": 0.5215975, ""excerpt"": ""• User Interaction (Client): The user’s device (browser or app) receives this challenge and prompts the user (fingerprint, PIN, etc.) to approve. • Signing (Device): Upon user approval, the device uses the stored private key to sign the challenge (cryptographically). • Verification (Server): The sig""}, {""rank"": 5, ""document_name"": ""Passwordless.pdf"", ""page"": 14, ""chunk_index"": 24, ""score"": 0.4946173, ""excerpt"": ""3. Passwordless Workflow Illustration Figure 2: Anatomy of a passwordless flow A typical FIDO/WebAuthn registration and authentication sequence. Registration: The user approves a device registration request (e.g. via fingerprint); the device generates a private key; it sends the corresponding public""}]","True","2","4","1.0","0.6667","0.8","1.0","1.0","True","65.1492","",""
"PASSLESS-07","Passwordless.pdf","What roles do WebAuthn and CTAP2 play in FIDO2 authentication?","Based on the provided context, WebAuthn and CTAP2 play the following roles in FIDO2 authentication:

* WebAuthn is the browser/JavaScript API that enables strong passwordless login flows by generating challenges and verifying signatures.
* CTAP2 (device-to-browser) is a protocol between the device and browser that allows for secure communication and key exchange. It enables the device to generate a private key, which stays local, and sends the corresponding public key to the server.

Together, WebAuthn and CTAP2 enable a robust passwordless authentication flow, where the user's device generates a unique key pair during registration, and the private key is used to sign challenges sent by the server. The public key is stored on the server, allowing for secure verification of the user's identity.","WebAuthn;browser;JavaScript API;CTAP2;device and browser","[{""rank"": 1, ""document_name"": ""Passwordless.pdf"", ""page"": 10, ""chunk_index"": 16, ""score"": 0.7445644, ""excerpt"": ""An example FIDO2 architecture with CTAP2 (device-to-browser) and WebAuthn (browser-to-server). A roaming authenticator (e.g. USB key) or platform authenticator (built into the device) uses CTAP2 to communicate with the client platform, while the platform uses WebAuthn to communicate with the relying""}, {""rank"": 2, ""document_name"": ""Passwordless.pdf"", ""page"": 10, ""chunk_index"": 15, ""score"": 0.6842046, ""excerpt"": ""2.4 Public-Key Cryptography (FIDO2 / WebAuthn) The most robust passwordless methods use asymmetric keys. FIDO2/WebAuthn (a W3C/FIDO Alliance standard) is a prime example. In this model, each user’s device (or security key) generates a unique key pair when registering with a site. The private key sta""}, {""rank"": 3, ""document_name"": ""Passwordless.pdf"", ""page"": 14, ""chunk_index"": 24, ""score"": 0.47727218, ""excerpt"": ""3. Passwordless Workflow Illustration Figure 2: Anatomy of a passwordless flow A typical FIDO/WebAuthn registration and authentication sequence. Registration: The user approves a device registration request (e.g. via fingerprint); the device generates a private key; it sends the corresponding public""}, {""rank"": 4, ""document_name"": ""Passwordless.pdf"", ""page"": 2, ""chunk_index"": 1, ""score"": 0.4720255, ""excerpt"": ""Contents Abstract 3 1. Introduction 4 Problems with Password Authentication . . . . . . . . . . . . . . . . . . . . . 4 What is Passwordless Authentication? . . . . . . . . . . . . . . . . . . . . . . 4 2. Common Passwordless Methods 5 2.1 One-Time Passcodes (HOTP/TOTP) . . . . . . . . . . . . . . .""}, {""rank"": 5, ""document_name"": ""Passwordless.pdf"", ""page"": 16, ""chunk_index"": 26, ""score"": 0.46535116, ""excerpt"": ""4. Security and Usability Considerations Passwordless methods dramatically reduce common attack vectors. They eliminate password-guessing, brute force, and credential stuffing attacks (since no password is shared or stored). FIDO/WebAuthn in particular is resistant to phishing and MITM: there are no""}]","True","3","5","1.0","1.0","1.0","1.0","1.0","True","93.7308","",""
"PASSLESS-08","Passwordless.pdf","Describe the FIDO2 challenge-response authentication process.","The FIDO2 challenge-response authentication process involves the following steps:

* Challenge Generation (Server): The relying party's backend creates a random nonce/challenge for the login attempt.
* User Interaction (Client): The user's device (browser or app) receives this challenge and prompts the user (fingerprint, PIN, etc.) to approve.
* Signing (Device): Upon user approval, the device uses the stored private key to sign the challenge (cryptographically).
* Verification (Server): The signed challenge is sent back to the server. The server uses the user's previously registered public key to verify the signature (ensuring the private key was used).

In summary, the FIDO2 challenge-response authentication process involves a random challenge generated by the server, which is then signed by the user's device using their private key. The signed challenge is sent back to the server, where it is verified using the user's public key. If the signature is valid, the user is authenticated without any password ever being transmitted.","random challenge;private key;sign;public key;verify","[{""rank"": 1, ""document_name"": ""Passwordless.pdf"", ""page"": 10, ""chunk_index"": 16, ""score"": 0.65198195, ""excerpt"": ""An example FIDO2 architecture with CTAP2 (device-to-browser) and WebAuthn (browser-to-server). A roaming authenticator (e.g. USB key) or platform authenticator (built into the device) uses CTAP2 to communicate with the client platform, while the platform uses WebAuthn to communicate with the relying""}, {""rank"": 2, ""document_name"": ""Passwordless.pdf"", ""page"": 14, ""chunk_index"": 24, ""score"": 0.6046084, ""excerpt"": ""3. Passwordless Workflow Illustration Figure 2: Anatomy of a passwordless flow A typical FIDO/WebAuthn registration and authentication sequence. Registration: The user approves a device registration request (e.g. via fingerprint); the device generates a private key; it sends the corresponding public""}, {""rank"": 3, ""document_name"": ""Passwordless.pdf"", ""page"": 10, ""chunk_index"": 15, ""score"": 0.58541185, ""excerpt"": ""2.4 Public-Key Cryptography (FIDO2 / WebAuthn) The most robust passwordless methods use asymmetric keys. FIDO2/WebAuthn (a W3C/FIDO Alliance standard) is a prime example. In this model, each user’s device (or security key) generates a unique key pair when registering with a site. The private key sta""}, {""rank"": 4, ""document_name"": ""Passwordless.pdf"", ""page"": 2, ""chunk_index"": 1, ""score"": 0.524623, ""excerpt"": ""Contents Abstract 3 1. Introduction 4 Problems with Password Authentication . . . . . . . . . . . . . . . . . . . . . 4 What is Passwordless Authentication? . . . . . . . . . . . . . . . . . . . . . . 4 2. Common Passwordless Methods 5 2.1 One-Time Passcodes (HOTP/TOTP) . . . . . . . . . . . . . . .""}, {""rank"": 5, ""document_name"": ""Passwordless.pdf"", ""page"": 15, ""chunk_index"": 25, ""score"": 0.5176304, ""excerpt"": ""• User Interaction (Client): The user’s device (browser or app) receives this challenge and prompts the user (fingerprint, PIN, etc.) to approve. • Signing (Device): Upon user approval, the device uses the stored private key to sign the challenge (cryptographically). • Verification (Server): The sig""}]","True","3","5","1.0","1.0","1.0","1.0","1.0","True","85.2549","",""
"PASSLESS-09","Passwordless.pdf","Why does the report say federated login is not truly passwordless?","The report says federated login is not truly passwordless because, although it eliminates the need for multiple passwords by delegating authentication to a trusted provider, it still relies on a (hopefully strong) password with the identity provider [1]. This means that if the central account is breached, all federated logins are at risk.","identity provider;initial password authentication;central account;breached","[{""rank"": 1, ""document_name"": ""Passwordless.pdf"", ""page"": 12, ""chunk_index"": 20, ""score"": 0.6934911, ""excerpt"": ""2.5 Federated and Social Login Federated identity systems (e.g. Sign in with Google/Facebook) reduce the number of passwords a user must remember by outsourcing authentication to a trusted provider. However, they are not truly passwordless, since the user still has a password (or equivalent) with th""}, {""rank"": 2, ""document_name"": ""Passwordless.pdf"", ""page"": 4, ""chunk_index"": 4, ""score"": 0.6779225, ""excerpt"": ""As Oduguwa and Arabo explain, passwordless authentication grants access “without the use of shared secrets like passwords”. In other words, no long-term secret known by the user is sent or stored. Instead, authentication may rely on one-time codes, cryptographic keys, biometric gestures, or other fa""}, {""rank"": 3, ""document_name"": ""Passwordless.pdf"", ""page"": 14, ""chunk_index"": 24, ""score"": 0.50240636, ""excerpt"": ""3. Passwordless Workflow Illustration Figure 2: Anatomy of a passwordless flow A typical FIDO/WebAuthn registration and authentication sequence. Registration: The user approves a device registration request (e.g. via fingerprint); the device generates a private key; it sends the corresponding public""}, {""rank"": 4, ""document_name"": ""Passwordless.pdf"", ""page"": 2, ""chunk_index"": 1, ""score"": 0.49608794, ""excerpt"": ""Contents Abstract 3 1. Introduction 4 Problems with Password Authentication . . . . . . . . . . . . . . . . . . . . . 4 What is Passwordless Authentication? . . . . . . . . . . . . . . . . . . . . . . 4 2. Common Passwordless Methods 5 2.1 One-Time Passcodes (HOTP/TOTP) . . . . . . . . . . . . . . .""}, {""rank"": 5, ""document_name"": ""Passwordless.pdf"", ""page"": 4, ""chunk_index"": 3, ""score"": 0.48863146, ""excerpt"": ""1. Introduction Problems with Password Authentication Traditional password systems rely on a shared secret known to user and server. In contrast, passwordless schemes use alternative factors (possession or inherence) and cryptography. NIST defines authentication as proving possession of an authentic""}]","True","1","1","1.0","0.3333","0.2","1.0","1.0","True","65.1752","",""
"PASSLESS-10","Passwordless.pdf","What main trade-offs or challenges are listed for passwordless methods?","Summary from the relevant passages:
- Abstract Passwordless authentication replaces traditional password-based logins with more secure and user-friendly methods. [1]
- Common Passwordless Methods Passwordless schemes can be broadly categorized by the factors they use. [2]
- Not truly passwordless, centralized risk Medium Table 1: Comparison of Passwordless Authentication Methods 13 [3]","device loss;enrollment security;biometric safety;email account;implementation complexity","[{""rank"": 1, ""document_name"": ""Passwordless.pdf"", ""page"": 3, ""chunk_index"": 2, ""score"": 0.711483, ""excerpt"": ""Abstract Passwordless authentication replaces traditional password-based logins with more secure and user-friendly methods. As noted by Oduguwa and Arabo, the “demise of the password was predicted in 2004” and many alternatives have been proposed to balance security and user experience. According to""}, {""rank"": 2, ""document_name"": ""Passwordless.pdf"", ""page"": 5, ""chunk_index"": 5, ""score"": 0.68197745, ""excerpt"": ""2. Common Passwordless Methods Passwordless schemes can be broadly categorized by the factors they use. Each method has its own flow, formulas, and security properties. Key approaches include: • One-Time Passcodes (HOTP/TOTP) – Time- or event-based codes generated by a shared secret. • Magic Links (""}, {""rank"": 3, ""document_name"": ""Passwordless.pdf"", ""page"": 13, ""chunk_index"": 23, ""score"": 0.6536751, ""excerpt"": ""Not truly passwordless, centralized risk Medium Table 1: Comparison of Passwordless Authentication Methods 13""}, {""rank"": 4, ""document_name"": ""Passwordless.pdf"", ""page"": 17, ""chunk_index"": 29, ""score"": 0.63271725, ""excerpt"": ""5. Conclusion Passwordless authentication offers a more secure and user-friendly alternative to passwords. By using one-time codes, secure links, biometrics or cryptographic keys, these methods eliminate the static shared secrets that attackers exploit. Strong standards like FIDO2/WebAuthn leverage ""}, {""rank"": 5, ""document_name"": ""Passwordless.pdf"", ""page"": 16, ""chunk_index"": 27, ""score"": 0.63071597, ""excerpt"": ""• Biometric Safety: Biometric methods raise privacy concerns, but standards ensure biometric data stays on-device. • Dependency on Other Factors: OTPs and magic links depend on a password- protected email or phone account. If an attacker compromises the email, they can use any magic link. Transmit S""}]","False","0","1","0.0","0.0","0.2","0.2","0.5","False","75.227","","Partial rule-based grounding; check manually if this question is important."
