question_id,document_name,question,expected_answer_keywords,expected_source_hint,difficulty,question_type
PASSLESS-01,Passwordless.pdf,What is the title of the passwordless authentication report and who are the listed members?,Passwordless Authentication Using Cryptographic Techniques;Pham Phuong Thao;Tran Thanh Phat;Hoang Quoc Bao;Nguyen Cong Anh;Bui Khuong Duy,Title page lists the report title and members,easy,factual
PASSLESS-02,Passwordless.pdf,How does the report define passwordless authentication?,without the use of shared secrets;passwords;one-time codes;cryptographic keys,Passwordless grants access without shared secrets like passwords,easy,definition
PASSLESS-03,Passwordless.pdf,How are HOTP and TOTP codes generated according to the report?,HOTP;HMAC;counter;TOTP;current time;30 seconds,HOTP uses secret key and counter while TOTP derives counter from time,medium,factual
PASSLESS-04,Passwordless.pdf,What security weaknesses remain for OTP-based authentication?,phishing;shared secret;malware;clock synchronization;initial distribution,Security section says OTPs can be phished and depend on shared secret handling,medium,summary
PASSLESS-05,Passwordless.pdf,How does a magic link login flow work?,email;secure random token;short expiry;validates the token;logs them in,Magic link flow generates a token and sends it by email,easy,factual
PASSLESS-06,Passwordless.pdf,Why are biometrics not sent to the server in WebAuthn-style authentication?,client platform;server only sees a signature;raw biometric data;private key,WebAuthn biometric check happens locally and server verifies a signature,medium,definition
PASSLESS-07,Passwordless.pdf,What roles do WebAuthn and CTAP2 play in FIDO2 authentication?,WebAuthn;browser;JavaScript API;CTAP2;device and browser,FIDO2 components describe WebAuthn and CTAP2,medium,factual
PASSLESS-08,Passwordless.pdf,Describe the FIDO2 challenge-response authentication process.,random challenge;private key;sign;public key;verify,Server sends challenge client signs it server verifies with public key,medium,summary
PASSLESS-09,Passwordless.pdf,Why does the report say federated login is not truly passwordless?,identity provider;initial password authentication;central account;breached,Federated identity delegates authentication after initial password authentication,medium,comparison
PASSLESS-10,Passwordless.pdf,What main trade-offs or challenges are listed for passwordless methods?,device loss;enrollment security;biometric safety;email account;implementation complexity,Security and usability considerations list trade-offs,hard,summary
RECEIPTS-01,receipts_ocr_extraction.pdf,What is the title of the receipts OCR report and which course is it for?,Receipts OCR and Information Extraction;Computer Vision;Nguyen Duc Dung,Title page lists final report course and lecturer,easy,factual
RECEIPTS-02,receipts_ocr_extraction.pdf,What is the goal of the receipt information extraction project?,extract structured information;receipt images;computer vision;automatically,Introduction states the goal of extracting structured information from receipt images,easy,summary
RECEIPTS-03,receipts_ocr_extraction.pdf,What dataset is used and what main entities does it annotate?,SROIE2019;company;address;date;total,Dataset section describes SROIE2019 and annotated fields,easy,factual
RECEIPTS-04,receipts_ocr_extraction.pdf,What components does each SROIE2019 sample include?,receipt image;OCR annotations;bounding box coordinates;key information labels,Dataset structure lists receipt image OCR annotations and key labels,medium,factual
RECEIPTS-05,receipts_ocr_extraction.pdf,What preprocessing steps are performed before training LayoutLMv3?,image normalization;text tokenization;bounding box normalization;tensor conversion,Data preparation pipeline lists normalization tokenization bounding boxes and tensors,medium,summary
RECEIPTS-06,receipts_ocr_extraction.pdf,What image size and coordinate range are used for LayoutLMv3 inputs?,224x224;0 to 1000;bounding box;LayoutLMv3,Image normalization uses 224x224 and bounding boxes are scaled from 0 to 1000,medium,factual
